t_s,requests,p50_us,p95_us,p99_us,max_us
37.3,8968,109.0,230.6,324.4,754.8
37.4,8947,109.9,230.8,323.3,819.3
37.5,8734,112.0,234.5,332.3,794.9
37.6,8947,108.2,235.1,334.1,999.9
37.7,8962,108.6,231.2,339.7,988.2
37.8,9032,107.2,230.5,325.4,935.1
37.9,9256,106.5,218.9,311.9,640.5
38.0,8639,112.8,242.7,342.9,801.9
38.1,8647,113.3,237.2,345.7,793.3
38.2,9114,104.6,238.3,354.2,746.1
38.3,9749,98.6,218.7,325.2,711.8
38.4,10176,95.6,208.9,297.6,715.3
38.5,9333,105.8,215.3,304.7,836.4
38.6,8882,111.8,225.6,331.2,631.3
38.7,9559,104.3,208.3,294.8,706.7
38.8,9603,102.6,211.0,302.4,749.5
38.9,9369,104.3,227.4,320.2,631.5
39.0,9196,108.8,222.1,302.3,973.4
39.1,9544,103.5,210.6,295.1,2063.0
39.2,9236,106.9,223.6,321.7,942.9
39.3,9554,105.2,208.0,295.6,711.8
39.4,9059,109.0,223.6,319.8,763.2
39.5,9279,107.7,211.8,297.6,1346.8
39.6,9077,106.3,233.1,323.0,755.3
39.7,9324,104.9,222.2,312.5,835.8
39.8,9373,103.7,220.1,333.0,966.3
39.9,9272,105.5,226.7,318.9,691.3
40.0,9119,108.4,222.5,314.3,874.1
40.1,9663,102.3,208.4,285.4,632.0
40.2,9443,104.3,216.7,306.0,986.9
40.3,9684,99.5,221.1,315.5,774.0
40.4,9613,101.6,215.2,305.6,786.6
40.5,9467,104.6,215.1,295.1,645.1
40.6,9177,107.5,224.6,318.8,725.1
40.7,9111,107.8,222.5,320.7,877.5
40.8,9745,102.0,201.8,283.0,818.0
40.9,9723,101.6,210.7,284.2,619.2
41.0,8617,114.8,236.6,318.6,1039.1
41.1,8761,111.1,242.4,352.3,727.1
41.2,8590,114.9,233.9,349.1,836.2
41.3,8725,111.9,235.4,335.2,773.6
41.4,8419,116.6,245.7,355.0,663.1
41.5,8929,109.7,231.5,333.5,849.0
41.6,9176,106.9,226.5,330.3,686.9
41.7,8840,112.2,231.8,330.6,680.9
41.8,9192,105.1,233.1,330.8,689.1
41.9,9466,102.3,220.7,318.3,1013.4
42.0,9468,103.1,221.7,317.2,775.8
42.1,8987,108.7,234.5,326.0,981.1
42.2,9030,110.2,218.0,318.5,1012.7
42.3,9578,102.6,215.3,309.1,829.9
42.4,9022,108.3,229.7,328.0,2658.2
42.5,9452,104.4,224.7,312.5,554.2
42.6,10028,97.9,207.5,290.4,872.8
42.7,9757,101.4,207.8,278.7,579.7
42.8,10014,99.5,200.5,280.4,543.1
42.9,9601,102.3,213.4,306.1,810.7
43.0,9250,106.8,222.6,310.2,572.0
43.1,9302,104.8,224.2,320.8,622.9
